PROVIN_REF_ID;AR91_REF_ID;PROVIN;NOMBPROV
1;1;02;Capital Federal                                   
2;1;06;Buenos Aires                                      
3;1;10;Catamarca                                         
4;1;14;Cordoba                                           
5;1;18;Corrientes                                        
6;1;22;Chaco                                             
7;1;26;Chubit                                            
8;1;30;Entre Ríos                                        
9;1;34;Formosa                                           
10;1;38;Jujuy                                             
11;1;42;La Pampa                                          
12;1;46;La Rioja                                          
13;1;50;Mendoza                                           
14;1;54;Misiones                                          
15;1;58;Neuquén                                           
16;1;62;Río Negro                                         
17;1;66;Salta                                             
18;1;70;San Juan                                          
19;1;74;San Luís                                          
20;1;78;Santa Cruz                                        
21;1;82;Santa Fé                                          
22;1;86;Santiago del Estero                               
23;1;90;Tucumán                                           
24;1;94;Tierra del Fuego                                  
