PROV_,NOMPROV,DEPTO_,NOMDEPTO
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,001,D.E. I                                            
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,002,D.E. II                                           
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,003,D.E. III                                          
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,004,D.E. IV                                           
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,005,D.E. V                                            
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,006,D.E. VI                                           
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,007,D.E. VII                                          
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,008,D.E. VIII                                         
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,009,D.E. IX                                           
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,010,D.E. X                                            
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,011,D.E. XI                                           
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,012,D.E. XII                                          
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,013,D.E. XIII                                         
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,014,D.E. XIV                                          
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,015,D.E. XV                                           
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,016,D.E. XVI                                          
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,017,D.E. XVII                                         
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,018,D.E. XVIII                                        
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,019,D.E. XIX                                          
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,020,D.E. XX                                           
02,CIUDAD AUTONOMA DE BUENOS AIRES                   ,021,D.E. XXI                                          
06,BUENOS AIRES                                      ,217,Chascomús                                         
94,TIERRA DEL FUEGO                                  ,007,Río Grande                                        
94,TIERRA DEL FUEGO                                  ,014,Ushuaia                                           
