,PROV_,DEPTO_,NOMBPROV,NOMBDEPTO
0,06,133,Buenos Aires                                      ,Cañuelas                                          
1,06,217,Buenos Aires                                      ,Chascomus                                         
2,06,259,Buenos Aires                                      ,Esteban Echeverria                                
3,06,273,Buenos Aires                                      ,Florencio Varela                                  
4,06,378,Buenos Aires                                      ,Gnral.Sarmiento                                   
5,06,378,Buenos Aires                                      ,Gnral.Sarmiento                                   
6,06,504,Buenos Aires                                      ,Magdalena                                         
7,06,567,Buenos Aires                                      ,Morón                                             
8,06,637,Buenos Aires                                      ,Pilar                                             
9,06,777,Buenos Aires                                      ,San Vicente                                       
10,22,035,Chaco                                             ,12 de Octubre                                     
11,22,042,Chaco                                             ,Fray Justo Sta.Ma. De Oro                         
12,30,007,Entre Ríos                                        ,Colón                                             
13,30,014,Entre Ríos                                        ,Concordia                                         
14,30,112,Entre Ríos                                        ,Villaguay                                         
15,94,007,Tierra del Fuego                                  ,Río Grande                                        
16,94,014,Tierra del Fuego                                  ,Ushuaia                                           
